symbol,price,timestamp
bitcoin,88885.59,2024-11-12 13:55:57.066742
bitcoin,88875.66,2024-11-12 13:55:57.965108
ethereum,3371.49,2024-11-12 13:55:57.965108
binance-coin,653.42,2024-11-12 13:55:57.965108
ethereum,3371.48,2024-11-12 13:55:58.283782
usd-coin,0.998923,2024-11-12 13:55:58.283782
bitcoin,88875.68,2024-11-12 13:55:59.255075
binance-coin,652.75,2024-11-12 13:55:59.255075
ethereum,3371.45,2024-11-12 13:55:59.561618
bitcoin,88875.02,2024-11-12 13:56:00.062543
ethereum,3371.48,2024-11-12 13:56:00.062543
ethereum,3371.46,2024-11-12 13:56:00.521654
solana,223.89,2024-11-12 13:56:00.521654
usd-coin,0.998922,2024-11-12 13:56:00.521654
bitcoin,88874.46,2024-11-12 13:56:01.162715
ethereum,3371.45,2024-11-12 13:56:01.162715
binance-coin,652.73,2024-11-12 13:56:01.162715
usd-coin,0.998904,2024-11-12 13:56:01.162715
ethereum,3371.46,2024-11-12 13:56:02.801898
bitcoin,88873.02,2024-11-12 13:56:03.249154
ethereum,3371.12,2024-11-12 13:56:03.249154
binance-coin,652.71,2024-11-12 13:56:03.249154
bitcoin,88873.01,2024-11-12 13:56:04.524558
ethereum,3371.09,2024-11-12 13:56:05.806752
solana,223.88,2024-11-12 13:56:05.806752
bitcoin,88867.97,2024-11-12 13:56:06.124498
ethereum,3371.06,2024-11-12 13:56:06.124498
bitcoin,88867.44,2024-11-12 13:56:06.503373
ethereum,3371.04,2024-11-12 13:56:06.503373
solana,223.87,2024-11-12 13:56:06.503373
ethereum,3371.06,2024-11-12 13:56:06.892163
solana,223.70,2024-11-12 13:56:06.892163
bitcoin,88867.54,2024-11-12 13:56:07.322095
ethereum,3371.09,2024-11-12 13:56:07.322095
solana,223.69,2024-11-12 13:56:07.322095
ethereum,3371.03,2024-11-12 13:56:07.712422
solana,223.71,2024-11-12 13:56:07.712422
bitcoin,88867.17,2024-11-12 13:56:08.200900
binance-coin,652.70,2024-11-12 13:56:08.200900
solana,223.68,2024-11-12 13:56:08.200900
usd-coin,0.998903,2024-11-12 13:56:08.200900
ethereum,3370.99,2024-11-12 13:56:08.527950
binance-coin,652.69,2024-11-12 13:56:08.527950
bitcoin,88867.30,2024-11-12 13:56:09.002147
solana,223.67,2024-11-12 13:56:09.002147
bitcoin,88867.22,2024-11-12 13:56:09.482541
ethereum,3370.96,2024-11-12 13:56:09.482541
bitcoin,88870.21,2024-11-12 13:56:10.287438
